",""Dates"",""AAPL"",""MSFT"",""AMZN"",""FB"",""GOOGL"",""TSLA"",""NVDA"",""BAC"",""NFLX"",""KO"""
"1,""2013-01-01"",16.207994,22.254688,268.459991,29.42,367.742737,6.868,2.951945,10.562924,14.171429,28.252762"
"2,""2013-01-08"",15.522738,22.421453,272.730011,30.950001,361.987,6.652,2.820184,10.021234,14.778571,28.01796"
"3,""2013-01-15"",15.468597,22.72163,272.119995,29.66,352.607605,6.904,2.813248,9.732919,14.167143,28.555742"
"4,""2013-01-22"",13.916477,23.271952,276.040009,32.470001,375.740753,7.606,2.91496,10.029974,23.158571,28.033102"
"5,""2013-01-29"",13.684141,22.880056,259.980011,28.110001,379.889893,7.548,2.810936,10.029974,24.962856,28.290634"
"6,""2013-02-05"",14.847687,23.230265,257.209991,28.26,391.601593,7.684,2.891843,10.361978,25.412857,29.245022"
"7,""2013-02-12"",14.319027,23.355333,265.089996,28.32,396.841827,7.408,2.942699,10.510505,27.072857,28.343657"
"8,""2013-02-19"",13.778824,22.821686,259.869995,27.27,395.780792,6.876,2.843299,9.636814,25.617144,28.5709"
"9,""2013-02-26"",13.070904,23.666407,273.109985,27.719999,411.161163,7.116,2.926517,9.968816,25.887142,29.404087"
"10,""2013-03-05"",13.625417,23.431004,271.23999,28.139999,417.82782,7.82,2.953774,10.624894,25.77857,29.775242"
"11,""2013-03-12"",14.180866,23.624367,257.890015,26.49,404.299286,7.03,2.918888,10.98343,26.512857,29.358635"
"12,""2013-03-19"",14.425447,23.674812,256.019989,25.129999,405.22522,7.506,2.886326,10.843512,25.827143,30.60874"
"13,""2013-03-26"",13.346605,24.053139,261.609985,25.530001,400.996002,8.786,2.886326,10.624894,26.061428,30.860506"
"14,""2013-04-02"",13.262589,24.036322,258.950012,26.85,387.812805,8.366,2.890978,10.677361,23.294287,31.173315"
"15,""2013-04-09"",13.064682,24.120396,267.720001,26.52,391.356354,8.66,2.981684,10.476234,25.214287,30.585859"
"16,""2013-04-16"",12.40561,25.919544,263.549988,25.969999,400.455444,10.038,2.928191,10.248869,24.91,32.592369"
"17,""2013-04-23"",13.384259,27.41604,249.740005,26.98,409.939941,10.988,3.15612,10.82602,30.715714,32.226173"
"18,""2013-04-30"",14.336144,28.374462,255.720001,27.57,431.206207,11.9,3.216591,11.263263,30.098572,32.104092"
"19,""2013-05-07"",14.150369,27.769142,264.51001,26.82,439.204193,17.559999,3.311949,11.35071,32.76857,32.188011"
"20,""2013-05-14"",13.874102,29.492632,267.630005,25.76,454.719727,17.988001,3.451498,11.814179,34.221428,32.332966"
"21,""2013-05-21"",13.943639,29.013674,261.73999,24.309999,437.097107,19.416,3.381723,11.578074,32.677143,32.226173"
"22,""2013-05-28"",14.11811,30.131207,266.880005,23.85,434.249237,18.518,3.377862,11.84916,31.709999,31.135168"
"23,""2013-06-04"",13.747553,30.029619,281.070007,24.33,445.555542,20.01,3.375524,11.630541,31.561428,31.417452"
"24,""2013-06-11"",13.531735,29.631704,278.059998,24.02,443.568573,20.440001,3.387213,11.560491,32.747143,31.035986"
"25,""2013-06-18"",12.608949,28.548029,270.609985,23.940001,435.330322,20.298,3.30072,10.764121,30.799999,30.367071"
"26,""2013-06-25"",12.818188,29.089867,282.100006,24.809999,444.384369,23.436001,3.296046,11.315455,32.040001,31.081505"
"27,""2013-07-02"",13.000805,29.06447,290.589996,24.709999,452.997986,24.322001,3.312409,11.621752,33.299999,31.142958"
"28,""2013-07-09"",13.388904,30.62225,306.570007,26.280001,462.8078,25.452,3.415264,12.146832,36.854286,31.504019"
"29,""2013-07-16"",13.353505,27.100309,303.480011,26.049999,455.805817,24.486,3.326435,13.05697,37.422855,31.373419"
"30,""2013-07-23"",14.026334,26.702402,306.100006,35.43,441.576569,26.924,3.312409,12.706916,34.994286,30.94322"
"31,""2013-07-30"",14.704799,26.83786,300.98999,39.189999,452.952942,28.936001,3.466692,12.951953,36.262856,30.950909"
"32,""2013-08-06"",14.639337,27.828407,296.690002,38.220001,443.198212,29.476,3.359162,12.610649,36.657143,30.59753"
"33,""2013-08-13"",16.009178,26.575405,285.570007,37.810001,433.25827,28.98,3.494744,12.383116,37.111427,29.790918"
"34,""2013-08-20"",15.858789,29.115816,286.209991,41.34,433.628632,32.844002,3.504094,12.680661,40.388573,29.283903"
"35,""2013-08-27"",15.362185,28.47637,280.980011,41.290001,423.873871,33.799999,3.465376,12.356863,40.558571,29.329998"
"36,""2013-09-03"",15.959685,26.99287,299.709991,44.040001,444.469482,32.139999,3.554653,12.671912,42.021427,29.59119"
"37,""2013-09-10"",14.192412,27.964815,296.059998,42.509998,444.32431,33.316002,3.714413,12.724597,43.165714,29.852373"
"38,""2013-09-17"",15.470024,27.91366,311.48999,47.189999,443.693695,36.222,3.674473,12.383055,43.148571,29.891512"
"39,""2013-09-24"",15.032064,28.37406,312.640015,50.23,438.393402,38.674,3.655679,12.0853,44.172855,29.311171"
"40,""2013-10-01"",15.378894,28.391102,310.029999,50.52,433.303314,36.613998,3.662727,12.094057,45.451427,28.668928"
"41,""2013-10-08"",15.640277,29.371578,310.700012,49.509998,438.4935,35.944,3.639232,12.566961,46.337143,29.334375"
"42,""2013-10-15"",16.438633,29.831984,326.440002,53.849998,502.152161,34.52,3.723811,12.715838,50.712856,30.038532"
"43,""2013-10-22"",16.707264,30.326481,358.160004,50.23,508.007996,32.571999,3.573448,12.461869,44.857143,30.649822"
"44,""2013-10-29"",16.60858,30.641935,358.73999,48.220001,513.568542,35.040001,3.481822,12.295478,48.228573,30.572439"
"45,""2013-11-05"",16.365793,32.048698,354.380005,46.200001,505.800812,28.940001,3.686221,12.610749,48.272858,30.851"
"46,""2013-11-12"",16.448027,31.716194,366.179993,45.830002,516.291321,24.316,3.707365,13.066137,48.824287,31.083143"
"47,""2013-11-19"",16.610086,32.091331,376.640015,44.82,523.488464,24.167999,3.643931,13.845551,50.034286,31.237911"
"48,""2013-11-26"",17.481918,33.030548,392.299988,47.060001,527.767761,24.834,3.720357,13.775488,51.988571,31.0135"
"49,""2013-12-03"",17.963974,33.253899,384.890015,48.84,539.609619,28.32,3.592802,13.64413,50.810001,31.48012"
"50,""2013-12-10"",17.680763,31.69042,388.970001,53.810001,537.027039,29.587999,3.552646,13.354969,52.330002,30.599604"
"51,""2013-12-17"",18.080046,31.458475,402.920013,57.77,558.108093,28.709999,3.727444,13.749311,54.368572,31.293104"
"52,""2013-12-24"",17.586252,32.034046,393.369995,53.709999,555.285278,30.488001,3.772324,13.617863,52.427143,32.017765"
"53,""2013-12-31"",17.250399,31.03754,393.630005,57.200001,559.219238,29.4,3.751065,14.59933,51.367142,31.378815"
"54,""2014-01-07"",16.990343,30.049637,390.980011,55.91,562.052063,27.868,3.628234,14.397779,48.115715,30.802189"
"55,""2014-01-14"",17.147018,31.252312,399.609985,56.299999,575.84082,34.001999,3.777048,14.906038,47.148571,30.607397"
"56,""2014-01-21"",17.458759,30.951637,386.279999,53.549999,551.166138,33.924,3.651855,14.292625,54.46143,30.178833"
"57,""2014-01-28"",15.905712,31.338207,346.149994,61.48,567.282288,35.422001,3.658942,14.327676,57.76857,28.986631"
"58,""2014-02-04"",16.776585,31.613113,360.869995,63.549999,587.052063,39.312,3.760514,14.651908,61.491428,30.054157"
"59,""2014-02-11"",17.355568,32.317539,357.350006,67.089996,602.002014,39.646,4.230577,14.63438,62.215714,30.334663"
